epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06405,0.72477,1.34359,0.92486,0.84375,0.54062,0.70718,0.65985,0.46473,1.24802,0.81421,7.69e-06,7.69e-06,7.69e-06
2,2.63233,0.69141,1.34756,0.91594,0.875,0.54062,0.70718,0.67304,0.4714,1.19371,0.81527,2.28416e-05,2.28416e-05,2.28416e-05
3,3.16531,0.61615,1.27661,0.89906,0.875,0.55625,0.715,0.67928,0.4778,1.13901,0.81769,3.76887e-05,3.76887e-05,3.76887e-05
4,3.70969,0.58604,1.15588,0.86711,0.875,0.5875,0.73063,0.69042,0.49198,1.09758,0.82017,5.22312e-05,5.22312e-05,5.22312e-05
5,4.25386,0.63861,1.25561,0.88722,0.875,0.64375,0.75813,0.71244,0.50923,1.03036,0.82409,6.64693e-05,6.64693e-05,6.64693e-05
6,4.77795,0.62029,1.23619,0.88319,0.875,0.72188,0.79593,0.7342,0.5252,0.96232,0.82695,8.04028e-05,8.04028e-05,8.04028e-05
7,5.32725,0.61947,1.15133,0.87275,0.875,0.74687,0.80843,0.73621,0.52936,0.92276,0.8266,9.40318e-05,9.40318e-05,9.40318e-05
8,5.86278,0.56134,1.09972,0.89443,0.84375,0.74687,0.80843,0.73794,0.51438,0.89136,0.82481,0.000107356,0.000107356,0.000107356
9,6.47756,0.53886,1.00693,0.87132,0.84375,0.74687,0.80843,0.74582,0.50602,0.89667,0.82326,0.000120376,0.000120376,0.000120376
10,6.99119,0.53458,1.0482,0.88387,0.84375,0.74687,0.80843,0.74523,0.50646,0.90999,0.82241,0.000133092,0.000133092,0.000133092
11,7.49518,0.53813,0.99767,0.85152,0.84375,0.74687,0.80843,0.7414,0.51271,0.93258,0.82607,0.000145502,0.000145502,0.000145502
12,7.98277,0.50292,0.98408,0.86854,0.84375,0.71562,0.79281,0.72921,0.51934,0.95192,0.82817,0.000157609,0.000157609,0.000157609
13,8.52164,0.59944,1.05583,0.88662,0.84437,0.68437,0.77718,0.71506,0.53186,0.95775,0.82991,0.000169411,0.000169411,0.000169411
14,9.03286,0.54058,0.97401,0.83877,0.875,0.68437,0.77718,0.72307,0.54271,0.96634,0.83497,0.000180908,0.000180908,0.000180908
15,9.53665,0.54895,0.95159,0.87815,0.875,0.7625,0.81625,0.74984,0.54121,0.95485,0.83674,0.000192101,0.000192101,0.000192101
16,10.0418,0.50496,0.90043,0.86617,0.875,0.7625,0.81625,0.74412,0.53344,0.93975,0.83628,0.000202989,0.000202989,0.000202989
17,10.5515,0.58127,0.98294,0.87339,0.875,0.77812,0.82405,0.76207,0.52056,0.90666,0.8366,0.000213573,0.000213573,0.000213573
18,11.0733,0.5437,0.93669,0.87357,0.875,0.80937,0.83905,0.77825,0.49943,0.85551,0.83021,0.000223852,0.000223852,0.000223852
19,11.6066,0.61066,0.92978,0.90621,1,0.95937,0.97592,0.90436,0.49508,0.83896,0.83016,0.000233827,0.000233827,0.000233827
20,12.1354,0.60706,0.91891,0.87753,0.97917,0.95937,0.97592,0.91788,0.47616,0.83168,0.82751,0.000243497,0.000243497,0.000243497
21,12.6551,0.5143,0.81044,0.85474,0.97917,0.95937,0.97592,0.91556,0.49051,0.82065,0.83006,0.000252863,0.000252863,0.000252863
22,13.1666,0.5706,0.8566,0.8633,0.85417,0.83437,0.85155,0.77926,0.5114,0.79704,0.8325,0.000261924,0.000261924,0.000261924
23,13.6514,0.53358,0.88005,0.8566,0.97917,0.95937,0.97592,0.89728,0.51354,0.78342,0.83354,0.00027068,0.00027068,0.00027068
24,14.1793,0.54874,0.87144,0.85288,0.875,0.83437,0.85155,0.78214,0.50521,0.7715,0.83455,0.000279132,0.000279132,0.000279132
25,14.6846,0.56005,0.82451,0.89394,0.875,0.80937,0.83905,0.78186,0.49884,0.79192,0.83139,0.00028728,0.00028728,0.00028728
26,15.208,0.55497,0.82392,0.88531,0.875,0.80937,0.83905,0.77159,0.47779,0.81755,0.82446,0.000295123,0.000295123,0.000295123
27,15.7161,0.52648,0.75679,0.87366,0.875,0.72188,0.79592,0.74288,0.48355,0.84837,0.82655,0.000302661,0.000302661,0.000302661
28,16.3267,0.50506,0.75947,0.88065,0.875,0.72188,0.79592,0.74288,0.48355,0.84837,0.82655,0.000309895,0.000309895,0.000309895
29,16.8433,0.51913,0.82331,0.87677,0.875,0.7375,0.80313,0.72687,0.54529,0.8577,0.83927,0.000316825,0.000316825,0.000316825
30,17.3558,0.50697,0.76724,0.86853,0.875,0.7375,0.80313,0.73393,0.55723,0.84909,0.84092,0.00032345,0.00032345,0.00032345
31,17.8315,0.5524,0.82002,0.8683,0.875,0.7375,0.80313,0.73393,0.55723,0.84909,0.84092,0.00032977,0.00032977,0.00032977
32,18.3444,0.52284,0.73443,0.87243,1,0.83125,0.91187,0.85316,0.52708,0.81006,0.83586,0.000335786,0.000335786,0.000335786
33,18.8514,0.58989,0.80713,0.88697,1,0.8875,0.94,0.88131,0.51515,0.76081,0.83387,0.000341498,0.000341498,0.000341498
34,19.3565,0.62553,0.84666,0.88538,1,0.8875,0.94,0.88131,0.51515,0.76081,0.83387,0.000346904,0.000346904,0.000346904
35,19.8834,0.55612,0.72086,0.857,1,0.8875,0.94,0.86481,0.53258,0.7544,0.83903,0.000352007,0.000352007,0.000352007
36,20.4012,0.5843,0.75498,0.87315,1,0.91875,0.95563,0.86983,0.56681,0.75467,0.84695,0.000356804,0.000356804,0.000356804
37,20.8747,0.55387,0.76433,0.86332,1,0.91875,0.95563,0.86983,0.56681,0.75467,0.84695,0.000361298,0.000361298,0.000361298
38,21.3813,0.49615,0.72667,0.85955,1,0.91875,0.95563,0.87708,0.57862,0.74256,0.85109,0.000365486,0.000365486,0.000365486
39,21.8818,0.58969,0.80975,0.87697,1,0.8875,0.94063,0.86055,0.57082,0.74742,0.84773,0.000369371,0.000369371,0.000369371
40,22.3682,0.50965,0.70792,0.87534,1,0.8875,0.94063,0.86055,0.57082,0.74742,0.84773,0.00037295,0.00037295,0.00037295
41,22.8854,0.56116,0.78197,0.86642,1,0.91875,0.95563,0.88326,0.54236,0.70414,0.84342,0.000376226,0.000376226,0.000376226
42,23.4186,0.55752,0.76203,0.86818,1,0.91875,0.95563,0.88089,0.54056,0.68371,0.84651,0.000379196,0.000379196,0.000379196
43,23.8826,0.58275,0.7593,0.86228,1,0.91875,0.95563,0.88089,0.54056,0.68371,0.84651,0.000381862,0.000381862,0.000381862
44,24.4676,0.52275,0.66412,0.86424,1,0.95,0.97063,0.89148,0.51931,0.63572,0.83886,0.000384224,0.000384224,0.000384224
