epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.52005,1.63834,4.39893,1.67648,0.00679,0.19976,0.0114,0.0045,1.22471,4.34057,1.50846,3.125e-05,3.125e-05,3.125e-05
2,3.78158,1.41422,4.34103,1.51057,0.01157,0.28534,0.04358,0.01965,0.85804,4.23275,1.15632,6.80694e-05,6.80694e-05,6.80694e-05
3,5.00962,1.12341,4.01235,1.27582,0.01519,0.39541,0.10808,0.05146,0.89326,4.06204,1.08395,0.000104146,0.000104146,0.000104146
4,6.2231,1.07385,3.70526,1.17556,0.0143,0.41482,0.11985,0.07976,0.87036,4.00585,1.06076,0.000139481,0.000139481,0.000139481
5,7.42187,0.99455,3.27387,1.14137,0.01466,0.42245,0.12766,0.08841,0.82097,3.84897,1.04146,0.000174073,0.000174073,0.000174073
6,8.62749,1.01352,2.68577,1.14618,0.02254,0.48526,0.1884,0.13375,0.84029,3.48511,1.05695,0.000207922,0.000207922,0.000207922
7,9.81884,0.97417,2.44924,1.1561,0.89159,0.08636,0.22015,0.16424,0.85986,3.01504,1.05332,0.000241029,0.000241029,0.000241029
8,11.1133,0.88702,2.00886,1.09375,0.89145,0.13397,0.30206,0.23284,0.82113,2.83543,1.03487,0.000273393,0.000273393,0.000273393
9,12.3409,0.93578,1.84567,1.12044,0.8839,0.12422,0.38758,0.28549,0.86393,2.86008,1.05744,0.000305015,0.000305015,0.000305015
10,13.5204,0.88086,1.62735,1.0855,0.84285,0.197,0.42832,0.32521,0.84212,2.63931,1.05473,0.000335894,0.000335894,0.000335894
11,14.7431,0.9285,1.62988,1.10282,0.827,0.31852,0.48523,0.35807,0.82282,2.24161,1.04179,0.000366031,0.000366031,0.000366031
12,15.9544,0.86351,1.49808,1.09064,0.75546,0.41086,0.52504,0.41433,0.78959,2.05713,1.03198,0.000395426,0.000395426,0.000395426
13,17.1579,0.89954,1.4645,1.11528,0.73229,0.42611,0.54322,0.42582,0.76487,2.07248,1.01951,0.000424078,0.000424078,0.000424078
14,18.419,0.87925,1.44123,1.1048,0.68912,0.48663,0.5531,0.42339,0.81102,1.89892,1.04033,0.000451987,0.000451987,0.000451987
15,19.6282,0.84889,1.30155,1.07557,0.6756,0.54016,0.55472,0.42796,0.79252,1.73537,1.03996,0.000479154,0.000479154,0.000479154
16,20.8446,0.84604,1.21315,1.06198,0.71318,0.56416,0.58086,0.45321,0.76301,1.45771,1.02069,0.000505578,0.000505578,0.000505578
17,22.0498,0.82119,1.25592,1.04989,0.74097,0.56079,0.59641,0.46324,0.77334,1.40619,1.03314,0.000526,0.000526,0.000526
18,23.2814,0.8422,1.23859,1.06094,0.66343,0.64884,0.63123,0.49125,0.77799,1.57609,1.04908,0.000519812,0.000519812,0.000519812
19,24.4748,0.86161,1.18024,1.09713,0.69453,0.64478,0.63778,0.51167,0.75475,1.52955,1.04154,0.000513625,0.000513625,0.000513625
20,25.6879,0.83819,1.21384,1.06651,0.76006,0.64178,0.68599,0.55869,0.73394,1.4252,1.0389,0.000507438,0.000507438,0.000507438
21,26.8441,0.79963,1.10131,1.04848,0.78496,0.69659,0.71036,0.57885,0.7258,1.33208,1.03512,0.00050125,0.00050125,0.00050125
22,28.1148,0.8113,1.09573,1.0627,0.80912,0.75784,0.73608,0.60254,0.72205,1.1029,1.01863,0.000495063,0.000495063,0.000495063
23,29.3256,0.80143,1.07649,1.03879,0.81461,0.74976,0.74161,0.61243,0.70207,1.08114,1.00815,0.000488875,0.000488875,0.000488875
24,30.5181,0.77348,1.01006,1.04292,0.82219,0.70821,0.73135,0.59548,0.68738,1.14956,1.00446,0.000482687,0.000482687,0.000482687
25,31.7011,0.76197,0.95417,1.03049,0.80251,0.69252,0.72945,0.60647,0.67228,1.20122,1.00059,0.0004765,0.0004765,0.0004765
26,32.949,0.75691,0.97562,1.018,0.83457,0.72965,0.75483,0.62969,0.6966,1.15386,1.00722,0.000470312,0.000470312,0.000470312
27,34.1509,0.78013,0.94514,1.03887,0.84294,0.7464,0.75475,0.62767,0.70743,1.12316,1.01111,0.000464125,0.000464125,0.000464125
28,35.3198,0.77758,0.99931,1.05441,0.84394,0.76353,0.7538,0.62711,0.71305,1.17664,1.0105,0.000457938,0.000457938,0.000457938
29,36.4698,0.76093,0.97108,1.01717,0.82994,0.75269,0.75701,0.62998,0.70911,1.22987,1.01007,0.00045175,0.00045175,0.00045175
30,37.676,0.75451,0.97407,1.01586,0.81183,0.7175,0.75766,0.63671,0.68247,1.25121,0.99467,0.000445562,0.000445562,0.000445562
31,38.9069,0.73389,0.9394,0.99591,0.82978,0.74511,0.75299,0.62659,0.68006,1.16096,0.99037,0.000439375,0.000439375,0.000439375
32,40.1299,0.74429,0.92534,1.00256,0.84566,0.78682,0.75242,0.61713,0.69971,1.04941,1.00412,0.000433187,0.000433187,0.000433187
33,41.3352,0.73626,0.94813,1.02192,0.84424,0.78118,0.7645,0.62326,0.70584,1.03121,1.00925,0.000427,0.000427,0.000427
34,42.5465,0.72567,0.86802,0.98992,0.84546,0.81904,0.7788,0.63906,0.68767,0.99568,1.00763,0.000420812,0.000420812,0.000420812
35,43.7315,0.74115,0.97186,1.01699,0.85131,0.80986,0.77928,0.6445,0.68705,1.01815,1.00755,0.000414625,0.000414625,0.000414625
36,45.01,0.7167,0.86319,1.00567,0.83753,0.79594,0.77842,0.65501,0.67689,1.1428,1.00369,0.000408438,0.000408438,0.000408438
37,46.166,0.71412,0.88201,0.98069,0.84502,0.79057,0.78174,0.65511,0.67121,1.19508,0.99784,0.00040225,0.00040225,0.00040225
38,47.3659,0.70633,0.85041,1.01678,0.83769,0.82122,0.78219,0.65894,0.66782,1.07579,0.98891,0.000396063,0.000396063,0.000396063
39,48.5444,0.70308,0.87368,1.0091,0.84973,0.81418,0.77888,0.66588,0.6628,1.01764,0.98636,0.000389875,0.000389875,0.000389875
40,49.7443,0.69946,0.80497,1.00645,0.8539,0.83131,0.78298,0.66473,0.66829,0.98723,0.99149,0.000383688,0.000383688,0.000383688
41,50.9163,0.72199,0.88079,1.01708,0.8528,0.82356,0.77742,0.66206,0.66326,0.99899,0.98915,0.0003775,0.0003775,0.0003775
42,52.113,0.68793,0.83613,0.9815,0.86696,0.76853,0.78161,0.66802,0.66776,1.08594,0.99077,0.000371313,0.000371313,0.000371313
43,53.2727,0.70552,0.82084,0.98796,0.84415,0.78499,0.77857,0.66149,0.66838,1.05874,0.99141,0.000365125,0.000365125,0.000365125
44,54.4705,0.68926,0.80879,0.98054,0.86968,0.79074,0.77557,0.65868,0.66457,0.99578,0.98962,0.000358938,0.000358938,0.000358938
45,55.6329,0.69827,0.82864,1.01174,0.86901,0.79939,0.77521,0.65546,0.66711,0.96735,0.99018,0.00035275,0.00035275,0.00035275
46,56.8461,0.70283,0.82902,0.98328,0.88213,0.78183,0.78479,0.66687,0.65503,0.93728,0.98722,0.000346563,0.000346563,0.000346563
47,58.0222,0.6952,0.84894,1.01591,0.87031,0.79942,0.78965,0.67406,0.65384,0.93598,0.98429,0.000340375,0.000340375,0.000340375
48,59.2312,0.69442,0.79039,0.99296,0.85833,0.81283,0.78884,0.6722,0.64878,0.94112,0.98259,0.000334188,0.000334188,0.000334188
49,60.4058,0.6444,0.80282,0.96033,0.86306,0.80545,0.7843,0.67418,0.64832,0.94863,0.98425,0.000328,0.000328,0.000328
50,61.5827,0.68984,0.83195,0.99848,0.86111,0.80652,0.7875,0.67215,0.65866,0.98513,0.98705,0.000321812,0.000321812,0.000321812
51,62.73,0.68578,0.84416,1.01154,0.8645,0.80491,0.79042,0.67662,0.66339,1.01792,0.98893,0.000315625,0.000315625,0.000315625
52,64.0747,0.68728,0.7712,0.96727,0.84948,0.80643,0.79573,0.68184,0.6689,1.00274,0.9926,0.000309437,0.000309437,0.000309437
53,65.2368,0.6686,0.75786,0.98089,0.84729,0.80713,0.79656,0.68037,0.6673,0.97889,0.98828,0.00030325,0.00030325,0.00030325
54,66.4288,0.6753,0.76746,0.97786,0.88163,0.767,0.7955,0.67653,0.6617,0.98291,0.98428,0.000297063,0.000297063,0.000297063
55,67.6024,0.66808,0.76876,0.97812,0.83445,0.81337,0.79636,0.67989,0.66071,0.99284,0.985,0.000290875,0.000290875,0.000290875
56,68.7779,0.63843,0.78573,0.96596,0.84577,0.78719,0.79024,0.66909,0.65305,0.99539,0.98151,0.000284688,0.000284688,0.000284688
57,69.9356,0.6453,0.75099,0.96991,0.84881,0.78033,0.79003,0.67252,0.65146,0.98549,0.98057,0.0002785,0.0002785,0.0002785
58,71.1465,0.65246,0.75481,0.9702,0.85453,0.78926,0.79069,0.67267,0.66443,0.96635,0.98434,0.000272313,0.000272313,0.000272313
59,72.326,0.65054,0.78309,0.95782,0.85331,0.79024,0.79028,0.66652,0.66827,0.96648,0.98557,0.000266125,0.000266125,0.000266125
60,73.4975,0.6577,0.80853,0.97412,0.8503,0.79922,0.78481,0.66662,0.66571,0.98552,0.98673,0.000259938,0.000259938,0.000259938
61,74.6862,0.66383,0.72121,0.96032,0.85384,0.79795,0.7835,0.66832,0.66015,0.99103,0.98584,0.00025375,0.00025375,0.00025375
62,75.9073,0.64179,0.76003,0.97478,0.85844,0.80234,0.78179,0.66317,0.65629,0.98794,0.98233,0.000247563,0.000247563,0.000247563
63,77.0613,0.67919,0.80374,0.99807,0.85717,0.80206,0.78105,0.66415,0.65723,0.98338,0.98157,0.000241375,0.000241375,0.000241375
64,78.2469,0.64118,0.68011,0.95579,0.89521,0.76514,0.78275,0.67473,0.64719,0.95373,0.97459,0.000235188,0.000235188,0.000235188
65,79.3899,0.63246,0.7325,0.98115,0.8721,0.79423,0.78391,0.6768,0.64355,0.94739,0.97288,0.000229,0.000229,0.000229
66,80.5868,0.6233,0.70265,0.96871,0.88446,0.78643,0.79025,0.68755,0.63556,0.94325,0.97026,0.000222813,0.000222813,0.000222813
67,81.7576,0.62982,0.73482,0.94775,0.86889,0.80575,0.7932,0.68684,0.63672,0.93762,0.97017,0.000216625,0.000216625,0.000216625
68,83.0029,0.62563,0.70362,0.94724,0.86099,0.80417,0.79481,0.67876,0.64722,0.91554,0.97183,0.000210437,0.000210437,0.000210437
69,84.15,0.63386,0.69752,0.95395,0.85579,0.80485,0.79463,0.67872,0.64383,0.90935,0.97081,0.00020425,0.00020425,0.00020425
70,85.3288,0.63094,0.71205,0.95389,0.85382,0.80702,0.79761,0.67351,0.63982,0.88575,0.96914,0.000198063,0.000198063,0.000198063
71,86.4776,0.637,0.69615,0.95712,0.85954,0.79831,0.79729,0.68172,0.63406,0.87178,0.9677,0.000191875,0.000191875,0.000191875
72,87.7007,0.64391,0.7072,0.98822,0.85659,0.80406,0.79523,0.68085,0.63098,0.87792,0.96651,0.000185688,0.000185688,0.000185688
73,88.8516,0.63012,0.6973,0.96474,0.86128,0.80004,0.79459,0.6785,0.63063,0.88712,0.96666,0.0001795,0.0001795,0.0001795
74,90.0181,0.63601,0.74138,0.9656,0.874,0.80362,0.79739,0.67662,0.63143,0.8882,0.96586,0.000173313,0.000173313,0.000173313
75,91.1657,0.63437,0.69358,0.96085,0.87952,0.79852,0.79162,0.67675,0.63229,0.89112,0.96689,0.000167125,0.000167125,0.000167125
76,92.3328,0.62356,0.69556,0.9534,0.87727,0.80792,0.79484,0.67823,0.62694,0.91268,0.96432,0.000160938,0.000160938,0.000160938
77,93.498,0.61317,0.71795,0.93861,0.87901,0.80703,0.78985,0.67597,0.62847,0.93076,0.9654,0.00015475,0.00015475,0.00015475
78,94.6597,0.60354,0.66328,0.95405,0.87646,0.80177,0.78899,0.68189,0.63236,0.9587,0.96768,0.000148563,0.000148563,0.000148563
79,95.8098,0.61574,0.71468,0.95826,0.86494,0.80734,0.78852,0.68053,0.63499,0.96205,0.96933,0.000142375,0.000142375,0.000142375
80,96.9882,0.61889,0.6934,0.95826,0.85922,0.81241,0.78965,0.67899,0.63532,0.9486,0.96976,0.000136187,0.000136187,0.000136187
81,98.2101,0.61147,0.65932,0.95308,0.86523,0.80655,0.79053,0.6805,0.63034,0.93303,0.96721,0.00013,0.00013,0.00013
82,99.3992,0.62343,0.71135,0.9492,0.87243,0.80409,0.79471,0.68791,0.62439,0.90908,0.96027,0.000123812,0.000123812,0.000123812
