epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,24.7802,0.47928,0.5609,0.85387,1,0.975,0.98313,0.92357,0.41259,0.41249,0.802,0.000384224,0.000384224,0.000384224
45,25.3057,0.48067,0.61201,0.86159,1,0.975,0.98313,0.92357,0.41259,0.41249,0.802,0.000386281,0.000386281,0.000386281
46,25.8315,0.46965,0.59257,0.84084,1,0.975,0.98313,0.91499,0.42149,0.4106,0.80392,0.000388034,0.000388034,0.000388034
47,26.3215,0.47513,0.61451,0.85933,1,0.975,0.98313,0.91499,0.42149,0.4106,0.80392,0.000389482,0.000389482,0.000389482
48,26.8514,0.45472,0.57574,0.85696,1,1,0.995,0.92877,0.41277,0.4029,0.80409,0.000390625,0.000390625,0.000390625
49,27.3577,0.46016,0.58232,0.83124,1,1,0.995,0.92877,0.41277,0.4029,0.80409,0.000391464,0.000391464,0.000391464
50,27.8684,0.42002,0.55315,0.8463,1,1,0.995,0.9166,0.43697,0.40787,0.80828,0.000391999,0.000391999,0.000391999
51,28.3656,0.45862,0.55263,0.83331,1,1,0.995,0.9166,0.43697,0.40787,0.80828,0.000388345,0.000388345,0.000388345
52,28.8975,0.43463,0.56737,0.84864,1,1,0.995,0.9234,0.43657,0.40693,0.81001,0.000380732,0.000380732,0.000380732
53,29.4091,0.4324,0.55597,0.84068,1,1,0.995,0.9234,0.43657,0.40693,0.81001,0.000373119,0.000373119,0.000373119
54,29.9591,0.49055,0.58937,0.83281,0.99858,1,0.995,0.93226,0.4263,0.40159,0.81084,0.000365506,0.000365506,0.000365506
55,30.4662,0.45074,0.58293,0.84571,0.99858,1,0.995,0.93226,0.4263,0.40159,0.81084,0.000357893,0.000357893,0.000357893
56,31.0058,0.46547,0.56921,0.83607,0.99898,1,0.995,0.94759,0.42279,0.3969,0.81344,0.00035028,0.00035028,0.00035028
57,31.4961,0.44941,0.54026,0.84378,0.99898,1,0.995,0.94759,0.42279,0.3969,0.81344,0.000342666,0.000342666,0.000342666
58,32.0276,0.42985,0.53679,0.84201,0.99949,1,0.995,0.93212,0.41204,0.38596,0.81181,0.000335053,0.000335053,0.000335053
59,32.6022,0.47808,0.57585,0.85932,0.99949,1,0.995,0.93212,0.41204,0.38596,0.81181,0.00032744,0.00032744,0.00032744
60,33.1389,0.41477,0.5317,0.84433,0.99426,1,0.995,0.93013,0.4086,0.37771,0.80899,0.000319827,0.000319827,0.000319827
61,33.6339,0.44108,0.56531,0.85534,0.99426,1,0.995,0.93013,0.4086,0.37771,0.80899,0.000312214,0.000312214,0.000312214
62,34.1459,0.45524,0.55228,0.85034,0.97639,1,0.99083,0.92603,0.40532,0.40396,0.80991,0.000304601,0.000304601,0.000304601
63,34.6337,0.40655,0.51724,0.83129,0.97639,1,0.99083,0.92603,0.40532,0.40396,0.80991,0.000296988,0.000296988,0.000296988
64,35.1501,0.45651,0.56154,0.84263,0.97706,1,0.99083,0.92582,0.38122,0.43136,0.80486,0.000289375,0.000289375,0.000289375
65,35.6673,0.42987,0.53269,0.8289,0.97706,1,0.99083,0.92582,0.38122,0.43136,0.80486,0.000281762,0.000281762,0.000281762
66,36.1705,0.45307,0.57653,0.8435,0.97898,0.99613,0.99083,0.92649,0.38893,0.44357,0.80352,0.000274148,0.000274148,0.000274148
67,36.7183,0.40347,0.51095,0.84981,0.97898,0.99613,0.99083,0.92649,0.38893,0.44357,0.80352,0.000266535,0.000266535,0.000266535
68,37.2449,0.43839,0.54388,0.84289,0.97622,1,0.99083,0.93501,0.38358,0.42079,0.8012,0.000258922,0.000258922,0.000258922
69,37.7486,0.45864,0.55003,0.8471,0.97622,1,0.99083,0.93501,0.38358,0.42079,0.8012,0.000251309,0.000251309,0.000251309
70,38.2832,0.42395,0.52979,0.83797,1,0.99416,0.995,0.94335,0.34845,0.39492,0.79559,0.000243696,0.000243696,0.000243696
71,38.7992,0.40804,0.52094,0.83487,1,0.99416,0.995,0.94335,0.34845,0.39492,0.79559,0.000236083,0.000236083,0.000236083
72,39.3247,0.45617,0.53295,0.8464,0.99721,1,0.995,0.94509,0.34337,0.38089,0.79412,0.00022847,0.00022847,0.00022847
73,39.8426,0.4133,0.56209,0.83089,0.99721,1,0.995,0.94509,0.34337,0.38089,0.79412,0.000220857,0.000220857,0.000220857
74,40.4264,0.44621,0.52657,0.84508,0.99744,1,0.995,0.94613,0.35545,0.37233,0.79509,0.000213244,0.000213244,0.000213244
75,40.9486,0.40197,0.53496,0.83632,0.99744,1,0.995,0.94613,0.35545,0.37233,0.79509,0.000205631,0.000205631,0.000205631
76,41.4918,0.40027,0.52274,0.83677,1,1,0.995,0.94783,0.35827,0.3673,0.79705,0.000198018,0.000198018,0.000198018
77,41.9766,0.45712,0.5459,0.84493,1,1,0.995,0.94783,0.35827,0.3673,0.79705,0.000190404,0.000190404,0.000190404
78,42.5179,0.41699,0.52991,0.83026,1,1,0.995,0.94393,0.35697,0.36097,0.79746,0.000182791,0.000182791,0.000182791
79,42.9978,0.40488,0.51286,0.82484,1,1,0.995,0.94393,0.35697,0.36097,0.79746,0.000175178,0.000175178,0.000175178
80,43.5613,0.42509,0.54611,0.85356,1,1,0.995,0.94888,0.36021,0.3627,0.79828,0.000167565,0.000167565,0.000167565
81,44.0621,0.38362,0.50693,0.82476,1,1,0.995,0.94888,0.36021,0.3627,0.79828,0.000159952,0.000159952,0.000159952
82,44.6276,0.41759,0.54284,0.82805,1,1,0.995,0.94654,0.35621,0.35785,0.7988,0.000152339,0.000152339,0.000152339
83,45.1625,0.43926,0.53578,0.85448,1,1,0.995,0.94654,0.35621,0.35785,0.7988,0.000144726,0.000144726,0.000144726
84,45.708,0.45203,0.55581,0.84343,1,1,0.995,0.96591,0.34669,0.35054,0.7989,0.000137113,0.000137113,0.000137113
85,46.4757,0.42126,0.52124,0.84069,1,1,0.995,0.96591,0.34669,0.35054,0.7989,0.0001295,0.0001295,0.0001295
86,47.2397,0.42901,0.52229,0.83117,1,1,0.995,0.97058,0.33035,0.33684,0.79524,0.000121887,0.000121887,0.000121887
87,47.7746,0.3862,0.4738,0.83116,1,1,0.995,0.97058,0.33035,0.33684,0.79524,0.000114273,0.000114273,0.000114273
