epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9916,1.48708,4.4556,1.31241,0.00163,0.0625,0.00241,0.00229,0.72364,4.1934,1.04168,7.69e-06,7.69e-06,7.69e-06
2,2.57934,1.40786,4.34094,1.26873,0.00236,0.09375,0.00508,0.00395,0.70828,4.18675,1.03395,2.26132e-05,2.26132e-05,2.26132e-05
3,3.13155,1.27363,4.21155,1.23971,0.00368,0.11875,0.01676,0.01562,0.66341,4.14781,1.00413,3.69274e-05,3.69274e-05,3.69274e-05
4,3.70527,1.11257,4.1822,1.15395,0.00818,0.22604,0.06722,0.05639,0.65694,4.05966,0.97164,5.06325e-05,5.06325e-05,5.06325e-05
5,4.25687,1.05683,4.15784,1.10472,0.00959,0.24167,0.076,0.06573,0.72045,3.96389,0.94135,6.37286e-05,6.37286e-05,6.37286e-05
6,4.8065,0.94727,4.03766,1.03864,0.01072,0.25729,0.07229,0.06055,0.75701,3.9221,0.92903,7.62156e-05,7.62156e-05,7.62156e-05
7,5.44486,0.97382,3.90157,1.02101,0.01404,0.33854,0.08772,0.07292,0.75383,3.81845,0.92078,8.80936e-05,8.80936e-05,8.80936e-05
8,5.99658,0.90901,3.5874,1.00474,0.01527,0.41146,0.09358,0.08293,0.69866,3.73941,0.8882,9.93625e-05,9.93625e-05,9.93625e-05
9,6.53032,0.79624,3.52967,0.94465,0.01571,0.43646,0.11058,0.09933,0.67882,3.70899,0.87455,0.000110022,0.000110022,0.000110022
10,7.14446,0.75067,3.36448,0.94629,0.01683,0.46771,0.14467,0.12959,0.67433,3.66859,0.86401,0.000120073,0.000120073,0.000120073
11,7.69607,0.77481,3.38115,0.90823,0.01796,0.49896,0.14408,0.1277,0.66218,3.62818,0.85195,0.000129515,0.000129515,0.000129515
12,8.24236,0.7102,3.24118,0.92349,0.01946,0.62813,0.16325,0.14219,0.66395,3.57523,0.83856,0.000138348,0.000138348,0.000138348
13,8.76806,0.79882,3.35408,0.93903,0.02089,0.62813,0.16387,0.14315,0.66805,3.55998,0.83888,0.000146571,0.000146571,0.000146571
14,9.29871,0.79387,3.22883,0.90402,0.02069,0.76875,0.1786,0.15452,0.68766,3.5045,0.84181,0.000154186,0.000154186,0.000154186
15,9.83428,0.75929,3.10264,0.92111,0.02138,0.79375,0.22797,0.19147,0.68302,3.42415,0.84484,0.000161192,0.000161192,0.000161192
16,10.3919,0.74992,2.94408,0.92275,0.02129,0.81875,0.27718,0.23368,0.71402,3.38302,0.864,0.000167588,0.000167588,0.000167588
17,10.9569,0.84352,2.91127,0.94099,0.02218,0.83437,0.31304,0.26085,0.71281,3.32598,0.8616,0.000173376,0.000173376,0.000173376
18,11.5176,0.78976,2.73277,0.92686,0.024,0.875,0.41294,0.34281,0.67938,3.25551,0.84996,0.000178554,0.000178554,0.000178554
19,12.0835,0.80252,2.68132,0.94657,0.02563,0.90625,0.45982,0.39201,0.64172,3.19363,0.8424,0.000183124,0.000183124,0.000183124
20,12.624,0.77394,2.61492,0.91895,0.0266,0.96875,0.49845,0.43329,0.61815,3.12955,0.84309,0.000187084,0.000187084,0.000187084
21,13.1768,0.65053,2.31926,0.88568,0.02737,0.96875,0.53572,0.46509,0.63194,3.05666,0.85014,0.000190435,0.000190435,0.000190435
