epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.98524,1.48708,4.4556,1.31241,0,0,0,0,0,0,0,7.69e-06,7.69e-06,7.69e-06
2,2.56516,1.40786,4.34094,1.26873,0,0,0,0,0,0,0,2.26132e-05,2.26132e-05,2.26132e-05
3,3.13768,1.27363,4.21155,1.23971,0,0,0,0,0,0,0,3.69274e-05,3.69274e-05,3.69274e-05
4,3.64417,1.11257,4.1822,1.15395,0,0,0,0,0,0,0,5.06325e-05,5.06325e-05,5.06325e-05
5,4.16435,1.05683,4.15784,1.10472,0,0,0,0,0,0,0,6.37286e-05,6.37286e-05,6.37286e-05
6,4.6826,0.94727,4.03766,1.03864,0,0,0,0,0,0,0,7.62156e-05,7.62156e-05,7.62156e-05
7,5.23175,0.97382,3.90157,1.02101,0,0,0,0,0,0,0,8.80936e-05,8.80936e-05,8.80936e-05
8,5.7684,0.90901,3.5874,1.00474,0,0,0,0,0,0,0,9.93625e-05,9.93625e-05,9.93625e-05
9,6.27937,0.79624,3.52967,0.94465,0,0,0,0,0,0.00586,0,0.000110022,0.000110022,0.000110022
10,6.78684,0.75067,3.36448,0.94629,0,0,0,0,0,0.02344,0,0.000120073,0.000120073,0.000120073
11,7.32174,0.77481,3.38115,0.90823,0,0,0,0,0,0.04883,0,0.000129515,0.000129515,0.000129515
12,7.83672,0.7102,3.24118,0.92349,0,0,0,0,0,0.08203,0,0.000138348,0.000138348,0.000138348
13,8.3965,0.79882,3.35408,0.93903,0,0,0,0,0,0.08203,0,0.000146571,0.000146571,0.000146571
14,8.91508,0.79387,3.22883,0.90402,0,0,0,0,0,0.14258,0,0.000154186,0.000154186,0.000154186
15,9.46138,0.75929,3.10264,0.92111,0,0,0,0,0,0.19336,0,0.000161192,0.000161192,0.000161192
16,9.98395,0.74992,2.94408,0.92275,0,0,0,0,0,0.23242,0,0.000167588,0.000167588,0.000167588
17,10.4877,0.84352,2.91127,0.94099,0,0,0,0,0,0.28906,0,0.000173376,0.000173376,0.000173376
18,11.0115,0.78976,2.73277,0.92686,0,0,0,0,0,0.36523,0,0.000178554,0.000178554,0.000178554
19,11.5541,0.80252,2.68132,0.94657,0,0,0,0,0,0.44336,0,0.000183124,0.000183124,0.000183124
20,12.0664,0.77394,2.61492,0.91895,0,0,0,0,0,0.4668,0,0.000187084,0.000187084,0.000187084
21,12.609,0.65053,2.31926,0.88568,0,0,0,0,0,0.50879,0,0.000190435,0.000190435,0.000190435
22,13.1154,0.75417,2.36736,0.89953,0,0,0,0,0,0.55566,0,0.000193177,0.000193177,0.000193177
23,13.672,0.71893,2.27889,0.90289,0,0,0,0,0,0.59766,0,0.000195311,0.000195311,0.000195311
24,14.1726,0.69981,2.05773,0.88183,0,0,0,0,0,0.69238,0,0.000196835,0.000196835,0.000196835
25,14.7277,0.71199,1.91369,0.93053,0,0,0,0,0,0.77344,0,0.00019775,0.00019775,0.00019775
26,15.2313,0.71049,1.83747,0.91989,0,0,0,0,0,0.85645,0,0.000198056,0.000198056,0.000198056
27,15.7605,0.65922,1.69301,0.90622,0,0,0,0,0,0.91699,0,0.000197753,0.000197753,0.000197753
28,16.2694,0.64073,1.6951,0.90707,0,0,0,0,0,0.91699,0,0.000196841,0.000196841,0.000196841
29,16.8185,0.63059,1.68791,0.90628,0,0,0,0,0,0.96094,0,0.00019532,0.00019532,0.00019532
30,17.3517,0.66868,1.68343,0.90179,0,0,0,0,0,0.97363,0,0.00019319,0.00019319,0.00019319
