epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37949,1.63834,4.39893,1.67648,0.00679,0.19976,0.0114,0.0045,1.22471,4.34057,1.50846,3.125e-05,3.125e-05,3.125e-05
2,4.58757,1.41631,4.34124,1.51144,0.01078,0.27934,0.04214,0.01765,0.86215,4.23138,1.16119,6.73887e-05,6.73887e-05,6.73887e-05
3,5.78423,1.12561,4.01903,1.27598,0.0142,0.37205,0.09137,0.04725,0.90078,4.06054,1.08671,0.000102042,0.000102042,0.000102042
4,6.99993,1.07866,3.71669,1.17651,0.01335,0.38077,0.11207,0.07381,0.87816,4.00749,1.06007,0.000135211,0.000135211,0.000135211
5,8.18955,0.99125,3.29443,1.13854,0.01341,0.40338,0.12772,0.09267,0.82245,3.85284,1.03522,0.000166895,0.000166895,0.000166895
6,9.41251,1.01395,2.70673,1.14829,0.02122,0.4387,0.1716,0.12344,0.84276,3.50506,1.05945,0.000197094,0.000197094,0.000197094
7,10.5827,0.97002,2.45616,1.15574,0.84116,0.17498,0.2219,0.16412,0.85038,3.05169,1.05048,0.000225807,0.000225807,0.000225807
8,11.7465,0.89189,2.02848,1.095,0.89269,0.12761,0.3093,0.23686,0.81184,2.89769,1.02911,0.000253036,0.000253036,0.000253036
9,12.9467,0.9285,1.8543,1.11856,0.85553,0.10668,0.36496,0.26808,0.87526,2.89445,1.06773,0.00027878,0.00027878,0.00027878
10,14.0793,0.88607,1.64985,1.08815,0.85741,0.22839,0.40911,0.29967,0.86117,2.63841,1.06497,0.000303039,0.000303039,0.000303039
11,15.2267,0.9409,1.65731,1.10702,0.81742,0.27704,0.46431,0.3495,0.82103,2.28041,1.0435,0.000325813,0.000325813,0.000325813
12,16.3643,0.86618,1.51243,1.09345,0.87137,0.35224,0.50318,0.39345,0.7862,2.1501,1.03225,0.000347101,0.000347101,0.000347101
13,17.5176,0.90258,1.48149,1.11417,0.8536,0.37384,0.53252,0.42537,0.76509,2.19061,1.01737,0.000366905,0.000366905,0.000366905
14,18.66,0.8787,1.4336,1.10152,0.75857,0.43447,0.54404,0.41572,0.8156,2.09523,1.03891,0.000385224,0.000385224,0.000385224
15,19.784,0.85735,1.33055,1.0792,0.72238,0.48805,0.55329,0.42754,0.77573,1.96105,1.02487,0.000402058,0.000402058,0.000402058
16,20.9256,0.85345,1.24674,1.06335,0.71788,0.55839,0.56192,0.44498,0.74403,1.59204,1.01189,0.000417406,0.000417406,0.000417406
17,22.0678,0.82771,1.27972,1.04664,0.72103,0.56111,0.56357,0.44182,0.75848,1.47337,1.01857,0.000427,0.000427,0.000427
18,23.2402,0.84776,1.25355,1.06174,0.76712,0.61026,0.6193,0.48264,0.76802,1.48924,1.03007,0.000414625,0.000414625,0.000414625
19,24.3543,0.85874,1.18956,1.09675,0.81389,0.61404,0.64656,0.51852,0.74587,1.48165,1.02713,0.00040225,0.00040225,0.00040225
20,25.4809,0.83065,1.21899,1.06858,0.77866,0.61861,0.69949,0.57539,0.75063,1.44494,1.03274,0.000389875,0.000389875,0.000389875
21,26.6197,0.80145,1.14684,1.04361,0.83801,0.69101,0.69803,0.57758,0.73751,1.36528,1.02723,0.0003775,0.0003775,0.0003775
